location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR
ngc4833_ejected,5.7,0.144451809,0.289953887,29.239033,40.5,0.040963714
ngc6441_ejected,9.2,0.093776386,0.184282736,35.879185,16.921792,0.04004773
pal_6_ejected,6.2,0.075841436,0.555018847,7.8353913,8.0292527,0.039045718
ngc6121_ejected,2.1,0.275121821,0.77083141,16.224569,15.826815,0.038277886
ngc6656_ejected,3.1,0.141749268,0.324123614,36.201531,17.279165,0.038126695
ngc6715_ejected,25.4,0.196629208,0.793668126,18.60969,19.728788,0.038058022
ngc7078_ejected,10.0,0.093776386,0.184282736,35.879185,16.921792,0.036843912
ngc6809_ejected,5.1,0.27418643,0.706301885,29.316858,26.577098,0.036416836
ngc104_ejected,4.1,0.113906716,0.372642279,17.536613,19.136847,0.036008632
ngc1851_ejected,11.7,0.076172897,0.292359971,16.433002,16.456212,0.035636675
ngc6121_ejected,2.1,0.501895297,0.895526672,15.425585,13.507727,0.035495192
ngc5139_ejected,4.9,0.329805681,0.782802775,24.066282,25.500467,0.035326059
ngc4833_ejected,5.7,0.278732411,0.790282204,16.669975,22.670462,0.035086683
ngc6266_ejected,6.6,0.140946678,0.558276977,17.921491,19.638828,0.034989173
ngc6205_ejected,6.8,0.143065424,0.62774361,18.509969,13.287604,0.034964911
ngc6864_ejected,17.7,0.066221493,0.299781377,17.168441,12.979876,0.034436291
ngc104_ejected,4.1,0.131351695,0.167332704,22.484445,41.805901,0.034234422
ngc2808_ejected,8.9,0.15657409,0.653638425,19.364551,16.169325,0.033841486
ngc6388_ejected,10.9,0.093776386,0.184282736,35.879185,16.921792,0.033801754
ngc6362_ejected,7.2,0.484604754,0.806107086,41.328414,42.168294,0.033629857
ngc6712_ejected,6.4,0.191396419,0.446672601,32.966793,41.829396,0.03306463
ngc4372_ejected,4.6,0.53639358,0.90313,21.005738,15.523407,0.032912964
ngc5139_ejected,4.9,0.241225946,0.61256858,36.107152,26.411999,0.032845484
ngc6441_ejected,9.2,0.15657409,0.653638425,19.364551,16.169325,0.03273796
